Sr;Label;Type;Name;Mandatory;Options;Default;Fetch From;Display Depends On (JS);;;;;;;;;;;;;;;;;;
109;Paid Amount (Company Currency);Currency;base_paid_amount;;Company:company:default_currency;;;eval: doc.is_pos || doc.redeem_loyalty_points;;;;;;;;;;;;;;;;;;
110;;Column Break;column_break_86;;;;;;;;;;;;;;;;;;;;;;;
111;Paid Amount;Currency;paid_amount;;currency;;;eval: doc.is_pos || doc.redeem_loyalty_points;;;;;;;;;;;;;;;;;;
112;Changes;Section Break;section_break_88;;;;;is_pos;;;;;;;;;;;;;;;;;;
113;Base Change Amount (Company Currency);Currency;base_change_amount;;Company:company:default_currency;;;is_pos;;;;;;;;;;;;;;;;;;
114;;Column Break;column_break_90;;;;;;;;;;;;;;;;;;;;;;;
115;Change Amount;Currency;change_amount;;currency;;;is_pos;;;;;;;;;;;;;;;;;;
116;Account for Change Amount;Link;account_for_change_amount;;Account;;;is_pos;;;;;;;;;;;;;;;;;;
117;Advance Payments;Section Break;advances_section;;fa fa-money;;;;;;;;;;;;;;;;;;;;;
118;Allocate Advances Automatically (FIFO);Check;allocate_advances_automatically;;;0;;;;;;;;;;;;;;;;;;;;
119;Only Include Allocated Payments;Check;only_include_allocated_payments;;;0;;allocate_advances_automatically;;;;;;;;;;;;;;;;;;
120;Get Advances Received;Button;get_advances;;set_advances;;;eval:!doc.allocate_advances_automatically;;;;;;;;;;;;;;;;;;
121;Advances;Table;advances;;Sales Invoice Advance;;;;;;;;;;;;;;;;;;;;;
122;Write Off;Section Break;write_off_section;;;;;is_pos;;;;;;;;;;;;;;;;;;
123;Write Off Amount;Currency;write_off_amount;;currency;;;;;;;;;;;;;;;;;;;;;
124;Write Off Amount (Company Currency);Currency;base_write_off_amount;;Company:company:default_currency;;;;;;;;;;;;;;;;;;;;;
125;Write Off Outstanding Amount;Check;write_off_outstanding_amount_automatically;;;0;;is_pos;;;;;;;;;;;;;;;;;;
126;;Column Break;column_break_74;;;;;;;;;;;;;;;;;;;;;;;
127;Write Off Account;Link;write_off_account;;Account;;;;;;;;;;;;;;;;;;;;;
128;Write Off Cost Center;Link;write_off_cost_center;;Cost Center;;;;;;;;;;;;;;;;;;;;;
129;Loyalty Points Redemption;Section Break;loyalty_points_redemption;;;;;;;;;;;;;;;;;;;;;;;
130;Redeem Loyalty Points;Check;redeem_loyalty_points;;;0;;;;;;;;;;;;;;;;;;;;
131;Loyalty Points;Int;loyalty_points;;;;;redeem_loyalty_points;;;;;;;;;;;;;;;;;;
132;Loyalty Amount;Currency;loyalty_amount;;Company:company:default_currency;;;redeem_loyalty_points;;;;;;;;;;;;;;;;;;
133;;Column Break;column_break_77;;;;;;;;;;;;;;;;;;;;;;;
134;Loyalty Program;Link;loyalty_program;;Loyalty Program;;customer.loyalty_program;;;;;;;;;;;;;;;;;;;
135;Don't Create Loyalty Points;Check;dont_create_loyalty_points;;;0;;loyalty_program;;;;;;;;;;;;;;;;;;
136;Redemption Account;Link;loyalty_redemption_account;;Account;;;redeem_loyalty_points;;;;;;;;;;;;;;;;;;
137;Redemption Cost Center;Link;loyalty_redemption_cost_center;;Cost Center;;;redeem_loyalty_points;;;;;;;;;;;;;;;;;;
138;Address & Contact;Tab Break;contact_and_address_tab;;;;;;;;;;;;;;;;;;;;;;;
139;Billing Address;Section Break;address_and_contact;;;;;;;;;;;;;;;;;;;;;;;
140;Customer Address;Link;customer_address;;Address;;;;;;;;;;;;;;;;;;;;;
141;Address;Text Editor;address_display;;;;;;;;;;;;;;;;;;;;;;;
142;;Column Break;col_break4;;;;;;;;;;;;;;;;;;;;;;;
143;Contact Person;Link;contact_person;;Contact;;;;;;;;;;;;;;;;;;;;;
144;Contact;Small Text;contact_display;;;;;;;;;;;;;;;;;;;;;;;
145;Mobile No;Small Text;contact_mobile;;Phone;;;;;;;;;;;;;;;;;;;;;
146;Contact Email;Data;contact_email;;Email;;;;;;;;;;;;;;;;;;;;;
147;Territory;Link;territory;;Territory;;;;;;;;;;;;;;;;;;;;;
148;Shipping Address;Section Break;shipping_address_section;;;;;;;;;;;;;;;;;;;;;;;
149;Shipping Address Name;Link;shipping_address_name;;Address;;;;;;;;;;;;;;;;;;;;;
150;Shipping Address;Text Editor;shipping_address;;;;;;;;;;;;;;;;;;;;;;;
151;;Column Break;shipping_addr_col_break;;;;;;;;;;;;;;;;;;;;;;;
152;Dispatch Address Name;Link;dispatch_address_name;;Address;;;;;;;;;;;;;;;;;;;;;
153;Dispatch Address;Text Editor;dispatch_address;;;;;;;;;;;;;;;;;;;;;;;
154;Company Address;Section Break;company_address_section;;;;;;;;;;;;;;;;;;;;;;;
155;Company Address Name;Link;company_address;;Address;;;;;;;;;;;;;;;;;;;;;
156;;Column Break;company_addr_col_break;;;;;;;;;;;;;;;;;;;;;;;
157;Company Address;Text Editor;company_address_display;;;;;;;;;;;;;;;;;;;;;;;
158;Terms;Tab Break;terms_tab;;;;;;;;;;;;;;;;;;;;;;;
159;Payment Terms;Section Break;payment_schedule_section;;;;;;;;;;;;;;;;;;;;;;;
160;Ignore Default Payment Terms Template;Check;ignore_default_payment_terms_template;;;0;;;;;;;;;;;;;;;;;;;;
161;Payment Terms Template;Link;payment_terms_template;;Payment Terms Template;;;eval:(!doc.is_pos && !doc.is_return);;;;;;;;;;;;;;;;;;
162;Payment Schedule;Table;payment_schedule;;Payment Schedule;;;eval:(!doc.is_pos && !doc.is_return);;;;;;;;;;;;;;;;;;
163;Terms and Conditions;Section Break;terms_section_break;;;;;;;;;;;;;;;;;;;;;;;
164;Terms;Link;tc_name;;Terms and Conditions;;;;;;;;;;;;;;;;;;;;;
165;Terms and Conditions Details;Text Editor;terms;;;;;;;;;;;;;;;;;;;;;;;
166;More Info;Tab Break;more_info_tab;;;;;;;;;;;;;;;;;;;;;;;
167;Customer PO Details;Section Break;customer_po_details;;;;;;;;;;;;;;;;;;;;;;;
168;Customer's Purchase Order;Data;po_no;;;;;;;;;;;;;;;;;;;;;;;
169;;Column Break;column_break_23;;;;;;;;;;;;;;;;;;;;;;;
170;Customer's Purchase Order Date;Date;po_date;;;;;;;;;;;;;;;;;;;;;;;
171;Accounting Details;Section Break;more_info;;fa fa-file-text;;;;;;;;;;;;;;;;;;;;;
172;Debit To;Link;debit_to;x;Account;;;;;;;;;;;;;;;;;;;;;
173;Party Account Currency;Link;party_account_currency;;Currency;;;;;;;;;;;;;;;;;;;;;
174;Is Opening Entry;Select;is_opening;;No;No;;;;;;;;;;;;;;;;;;;;
;;;;;Yes;;;;;;;;;;;;;;;;;;;;;
175;;Column Break;column_break8;;;;;;;;;;;;;;;;;;;;;;;
176;Unrealized Profit / Loss Account;Link;unrealized_profit_loss_account;;Account;;;eval:doc.is_internal_customer;;;;;;;;;;;;;;;;;;
177;Against Income Account;Small Text;against_income_account;;;;;;;;;;;;;;;;;;;;;;;
178;Commission;Section Break;sales_team_section_break;;fa fa-group;;;;;;;;;;;;;;;;;;;;;
179;Sales Partner;Link;sales_partner;;Sales Partner;;;;;;;;;;;;;;;;;;;;;
180;Amount Eligible for Commission;Currency;amount_eligible_for_commission;;;;;;;;;;;;;;;;;;;;;;;
181;;Column Break;column_break10;;;;;;;;;;;;;;;;;;;;;;;
182;Commission Rate (%);Float;commission_rate;;;;sales_partner.commission_rate;;;;;;;;;;;;;;;;;;;
183;Total Commission;Currency;total_commission;;Company:company:default_currency;;;;;;;;;;;;;;;;;;;;;
184;Sales Team;Section Break;section_break2;;;;;;;;;;;;;;;;;;;;;;;
185;Sales Contributions and Incentives;Table;sales_team;;Sales Team;;;;;;;;;;;;;;;;;;;;;
186;Print Settings;Section Break;edit_printing_settings;;;;;;;;;;;;;;;;;;;;;;;
187;Letter Head;Link;letter_head;;Letter Head;;;;;;;;;;;;;;;;;;;;;
188;Group same items;Check;group_same_items;;;0;;;;;;;;;;;;;;;;;;;;
189;;Column Break;column_break_84;;;;;;;;;;;;;;;;;;;;;;;
190;Print Heading;Link;select_print_heading;;Print Heading;;;;;;;;;;;;;;;;;;;;;
191;Print Language;Data;language;;;;;;;;;;;;;;;;;;;;;;;
192;Subscription;Section Break;subscription_section;;;;;;;;;;;;;;;;;;;;;;;
193;Subscription;Link;subscription;;Subscription;;;;;;;;;;;;;;;;;;;;;
194;From Date;Date;from_date;;;;;;;;;;;;;;;;;;;;;;;
195;Auto Repeat;Link;auto_repeat;;Auto Repeat;;;;;;;;;;;;;;;;;;;;;
196;;Column Break;column_break_140;;;;;;;;;;;;;;;;;;;;;;;
197;To Date;Date;to_date;;;;;;;;;;;;;;;;;;;;;;;
198;Update Auto Repeat Reference;Button;update_auto_repeat_reference;;;;;eval: doc.auto_repeat;;;;;;;;;;;;;;;;;;
199;Additional Info;Section Break;more_information;;;;;customer;;;;;;;;;;;;;;;;;;
200;Status;Select;status;;Draft;Draft;;;;;;;;;;;;;;;;;;;;
201;Inter Company Invoice Reference;Link;inter_company_invoice_reference;;Purchase Invoice;;;;;;;;;;;;;;;;;;;;;
202;Campaign;Link;campaign;;Campaign;;;;;;;;;;;;;;;;;;;;;
203;Represents Company;Link;represents_company;;Company;;customer.represents_company;eval:doc.is_internal_customer;;;;;;;;;;;;;;;;;;
204;Source;Link;source;;Lead Source;;;;;;;;;;;;;;;;;;;;;
205;Customer Group;Link;customer_group;;Customer Group;;;;;;;;;;;;;;;;;;;;;
206;;Column Break;col_break23;;;;;;;;;;;;;;;;;;;;;;;
207;Is Internal Customer;Check;is_internal_customer;;;0;customer.is_internal_customer;;;;;;;;;;;;;;;;;;;
208;Is Discounted;Check;is_discounted;;;0;;;;;;;;;;;;;;;;;;;;
209;Remarks;Small Text;remarks;;;;;;;;;;;;;;;;;;;;;;;
210;Repost Required;Check;repost_required;;;0;;;;;;;;;;;;;;;;;;;;
211;Connections;Tab Break;connections_tab;;;;;;;;;;;;;;;;;;;;;;;
